word,emoji,desc
similarly, 👯, 同样地，类似地
suffer, 😫, 遭受；忍受；患病
impede, 🚧, 阻碍，妨碍
notion, 💡, 概念，观念；想法
actual, ✅, 实际的；真实的
simplify, 💡, 使简化
compulsory, ⛓️, 义务的；必须做的；必修的
irritation, 💢, 激怒；刺激物
expense, 💸, 花费；开支；代价
muddle, 🌀, 一团糟；混乱；糊涂
originate, 🌱, 起源；发生；首创
induce, 🧲, 引诱；引起；感应
exchange, 🔄, 交换；交易；交流
disharmony, 🔊, 不一致；不和谐
cosset, 🧸, 宠爱，溺爱；宠儿
unique, 💎, 唯一的；极好的
disagree, 👎, 不同意；不一致
inclusive, ➕, 包括一切费用的；包容广阔的
reservation, 📝, 保留意见；预定
include, ➕, 包括；包含；计入
reasonable, ⚖️, 合理的；通情达理的；适度的
legacy, 📜, 遗产，遗赠
leisure, 🏖️, 空闲时间；悠闲
overlap, 📑, 部分重叠；交叠
counterpart, 👥, 与对方地位相当的人；副本
tune, 🎵, 调音；调节；和谐
strike, 👊, 打；折磨；罢工
vanish, 💨, 突然消失；不复存在
mechanism, ⚙️, 机制，机理；办法
dispute, 🗣️, 争论，争端；异议
standard, 📏, 标准
typical, 典型, 典型的
strengthen, 💪, 加强，巩固
workaholic, 💼, 工作狂
unaware, ❓, 未意识到的
exclusively, 🔒, 专有地，专门地
bare, 🧥, 赤裸的；光秃的
internal, 🏠, 内部的；国内的
illusion, 🔮, 幻想；错误的观念；错觉
shave, 🪒, 修面
incredible, 😲, 不可信的；难以置信的
industrious, 🐝, 勤奋的，勤勉的
outpost, 🏰, 前哨；偏远村落
general, 🌐, 一般的；普通的；全体的；大体的；将军
bother, 💢, 打扰；烦扰；操心
consignment, 📦, 交付；委托；货物
concept, 💡, 概念，观念；设想
humble, 🙇, 谦逊的；地位低下的；简陋的
attain, 🏆, 达到；获得；完成
divisional, 📁, 部门的
ambition, 🚀, 雄心，抱复；野心
range, 📏, 范围；领域；系列
flap, 🦋, 拍打；薄片；振动
wastage, 🗑️, 消耗量；损耗；减员
device, ⚙️, 装置；设备；方法；手段
mould, 🧱, 模型，铸模；性格，气质；塑造
discretion, ⚖️, 判断力；谨慎；审慎
ambitious, 🚀, 有抱负的，有雄心的
brief, ⏱️, 短时间的；简短的；概要
striking, 🌟, 显著的，惹人注目的
imaginative, 💡, 富有想象力的；创新的
profit, 📈, 利润；益处
decrepit, 🏚️, 破旧的；衰老的
ignorant, ❓, 无知的；愚昧的
mastery, 🎓, 精通，熟练；控制
forecast, 🔮, 预报；预测；预想
precision, 🎯, 准确，精确
quote, 💬, 引文；估价；引用
comparative, ⚖️, 比较的；相当的
recruit, 🤝, 招募；复原；补充
gloss, ✨, 光泽；假象；注解
committee, 👥, 委员会
representative, 👤, 代表；代理人；典型的
reverse, ↩️, 相反；颠倒；背面；倒转
resign, 📝, 辞职；辞去；放弃
preparation, 📝, 准备；制剂
eyesight, 👁️, 视力
thrive, 📈, 兴旺，繁荣
judgment, 👨‍⚖️, 意见；审判；判断
outward, ➡️, 外面的；外表的
consequently, ➡️, 因此；因而
entertain, 🎭, 欢乐；招待
withstand, 🛡️, 抵挡；经受住
suitably, ✅, 合适地；相称地
allocate, 📍, 分配；分派
qualification, 📜, 资格，合格；技能
expand, 📈, 膨胀；扩张；详述
repaint, 🎨, 重新油漆
widespread, 🌐, 分布广的；普遍的
hazard, ⚠️, 危险，冒险
alight, 🔥, 点着的；降落
shrewd, 💡, 机灵的；精明的
conclude, 📝, 推断出；作结论
inherent, 🧬, 内在的；生来就有的
world-wide, 🌐, 遍及全球的
grope, 🕵️, 摸索
ethical, ⚖️, 道德的；伦理的
improvement, 📈, 改进，进步
vacant, 🕳️, 未占用的；空的
truant, 🏃, 逃避责任；旷课
scandal, 📢, 丑事，丑闻；恶意诽谤
latent, 💤, 潜在的，潜伏的
bolster, 🧱, 支持，支撑；改善
sequence, 🔢, 一系列；顺序；次序
concern, 😟, 涉及；关心；让（人）担忧
destiny, 🔮, 命运，定数
awful, 😫, 糟糕的
sore, 🩹, 痛的；恼火的；剧烈
virtually, 💻, 几乎；实际上
tangibly, 🤝, 可触摸地；有形地
decent, 👔, 大方的；体面的；正派的
fate, 🔮, 命运，天数
target, 🎯, 目标；对象；对准
independent, 🗽, 独立的；自主的
comprise, 🧩, 包含；由……组成
stable, 🧱, 稳定的；稳固的
annual, 📅, 每年的；年度的
luxury, 💎, 豪华；奢侈
particular, 📍, 特殊的；特定的；详情
cope, 🧘, 应付；处理
defect, ❌, 缺点；不足之处；叛变
oppose, 🚫, 反对；反抗
statistics, 📊, 统计数字；统计学
approximately, 📐, 近似，大约
excusable, ✅, 可原谅的；可容许的
propose, 💡, 提议；建议；提名
energetic, ⚡, 有力的；精力旺盛的
cooperative, 🤝, 合作的；协作的
except, 🚫, 除……外
activation, ⚡, 激活；使活动
major, 🎓, 主要的；专业
specific, 📍, 特定的；明确的
objective, 🎯, 目标；目的；客观的
necessarily, ➡️, 必要地；必然地
elastic, ➿, 有弹性的；灵活的
enhance, 📈, 提高；增强
demonstration, 📢, 论证；示范；示威
alcohol, 🍷, 酒精；酒
feature, 🌟, 特征；面貌；专题
coordinator, 🤝, 协调者
crisp, 🍟, 脆的；利落的
guilty, 😔, 内疚的；有罪的
crack, ⚡, 裂缝；破裂；崩溃
flourish, 📈, 繁荣；茂盛；兴旺
hesitation, ❓, 犹豫；踌躇
eliminate, ❌, 消灭；消除；淘汰
apparently, ➡️, 显然；看来
stimulate, ⚡, 刺激；使兴奋；激发
operational, ⚙️, 运转的；业务的
image, 🖼️, 形象；印象；图像
intend, 🎯, 想要；打算
empirical, 📖, 经验主义的
probation, ⚖️, 缓刑；试用期
depression, 📉, 忧愁；低气压；不景气
proximity, 📍, 接近；邻近
attention, 👁️, 注意；留心
factual, 📖, 事实的；真实的
acclaim, 👏, 欢呼；称赞
endeavour, 努力, 努力；尽力；尝试
address, 🏠, 致函；处理；地址
superb, 🌟, 极好的；高质量的
intention, 🎯, 意图；目的
warrant, 📜, 保证；授权
optimism, 😊, 乐观
avail, ✅, 有帮助；有用
frustrating, 😫, 令人泄气的
overdue, ⏰, 过期未付的；延误的
impressive, 🌟, 给人深刻印象的
analysis, 🔍, 分析；分解
refresher, ☕, 提神物；补习课程
misjudge, ❌, 判断错误
pregnant, 🤰, 怀孕的；充满的
unyielding, 🧱, 顽强的；坚固的
exterior, 🏠, 外部的；外表
approve, ✅, 赞成；批准
vernacular, 🗣️, 本国话；方言
compare, ⚖️, 比较；对比
transparent, 💎, 透明的；易懂的
bind, 🪢, 捆绑；约束；凝结
acute, 🔪, 灵敏的；剧烈的
inference, 💡, 推论；推断
loop, ➰, 圈环；循环
subtract, ➖, 减去；去掉
aptitude, 🎓, 天资；天赋
